"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","174,300","172,700","175,500","172,700","0.11K","1.93%"
"03/14/2023","171,000","175,200","175,900","170,500","587.94K","-2.84%"
"03/13/2023","176,000","174,400","176,300","173,500","0.18K","0.57%"
"03/12/2023","175,000","175,000","175,000","175,000","","0.00%"
"03/10/2023","175,000","174,700","176,700","174,600","442.67K","-0.74%"
"03/09/2023","176,300","176,600","180,300","175,700","0.02K","0.80%"
"03/08/2023","174,900","174,300","176,100","174,100","488.82K","-0.11%"
"03/07/2023","175,100","176,500","177,500","175,100","461.31K","-1.35%"
"03/06/2023","177,500","177,800","178,500","176,000","546.11K","0.80%"
"03/05/2023","176,100","176,100","176,100","176,100","","0.00%"
"03/03/2023","176,100","177,500","178,200","175,000","547.94K","-1.34%"
"03/02/2023","178,500","176,600","179,800","176,600","0.67K","1.25%"
"03/01/2023","176,300","176,300","176,300","176,300","","0.00%"
"02/28/2023","176,300","174,100","178,100","174,000","759.99K","1.73%"
"02/27/2023","173,300","173,100","173,600","170,200","426.38K","-0.35%"
"02/26/2023","173,900","173,900","173,900","173,900","","0.00%"
"02/24/2023","173,900","176,200","177,300","173,800","359.49K","-1.31%"
"02/23/2023","176,200","174,400","178,600","174,300","0.08K","1.15%"
"02/22/2023","174,200","175,900","176,900","174,000","0.01K","-2.24%"
"02/21/2023","178,200","178,500","179,000","175,500","452.64K","0.00%"
"02/20/2023","178,200","179,400","179,400","176,600","404.22K","-0.45%"
"02/19/2023","179,000","179,000","179,000","179,000","","0.00%"
"02/17/2023","179,000","177,400","179,800","177,000","456.81K","-0.17%"
"02/16/2023","179,300","173,400","180,000","173,300","0.01K","3.82%"
"02/15/2023","172,700","174,600","175,300","171,800","450.34K","-0.58%"
"02/14/2023","173,700","172,900","175,700","172,700","501.94K","1.22%"
"02/13/2023","171,600","172,700","174,300","171,300","371.53K","-1.04%"
"02/12/2023","173,400","173,400","173,400","173,400","","0.00%"
"02/10/2023","173,400","171,600","173,500","171,100","371.97K","0.46%"
"02/09/2023","172,600","171,900","174,000","171,500","581.47K","-0.06%"
"02/08/2023","172,700","171,500","173,000","170,200","441.79K","1.29%"
"02/07/2023","170,500","171,000","171,200","169,500","531.66K","-0.12%"
"02/06/2023","170,700","174,000","174,700","170,700","581.43K","-1.22%"
"02/05/2023","172,800","172,800","172,800","172,800","","0.00%"
"02/03/2023","172,800","170,100","174,500","169,600","767.05K","1.71%"
"02/02/2023","169,900","171,500","172,900","169,300","546.24K","-0.06%"
"02/01/2023","170,000","169,100","171,400","168,700","0.00K","1.80%"
"01/31/2023","167,000","169,100","170,400","167,000","0.00K","-1.76%"
"01/30/2023","170,000","174,400","175,700","169,400","789.62K","-2.24%"
"01/29/2023","173,900","173,900","173,900","173,900","","0.00%"
"01/27/2023","173,900","177,000","177,600","173,300","1.15M","-0.57%"
"01/26/2023","174,900","166,600","176,200","166,600","1.68M","5.55%"
"01/25/2023","165,700","166,100","166,500","165,200","357.48K","0.73%"
"01/24/2023","164,500","164,500","164,500","164,500","","0.00%"
"01/20/2023","164,500","163,000","164,500","163,000","294.93K","0.30%"
"01/19/2023","164,000","162,500","164,000","162,000","0.03K","-0.30%"
"01/18/2023","164,500","166,500","166,500","162,500","0.02K","-0.90%"
"01/17/2023","166,000","166,500","167,000","164,500","449.99K","-0.30%"
"01/16/2023","166,500","167,000","167,500","163,500","0.32K","-1.48%"
"01/15/2023","169,000","169,000","169,000","169,000","","0.00%"
"01/13/2023","169,000","167,500","170,000","167,000","705.94K","1.50%"
"01/12/2023","166,500","166,000","168,000","164,500","868.00K","1.52%"
"01/11/2023","164,000","163,500","165,000","163,000","365.93K","0.61%"
"01/10/2023","163,000","162,500","164,000","161,500","409.41K","-0.61%"
"01/09/2023","164,000","161,000","164,500","160,000","0.01K","2.82%"
"01/06/2023","159,500","157,500","161,500","157,500","499.83K","0.31%"
"01/05/2023","159,000","161,000","161,500","158,000","0.20K","-0.93%"
"01/04/2023","160,500","157,500","161,000","157,500","460.10K","0.94%"
"01/03/2023","159,000","158,500","160,500","156,000","0.64K","1.27%"
"01/02/2023","157,000","154,000","161,000","154,000","1.13M","3.97%"
"12/29/2022","151,000","153,000","154,000","150,500","544.92K","-1.95%"
"12/28/2022","154,000","156,000","156,000","154,000","0.14K","-2.53%"
"12/27/2022","158,000","158,500","160,000","157,000","0.04K","0.00%"
"12/26/2022","158,000","157,000","159,000","157,000","0.00K","0.64%"
"12/25/2022","157,000","157,000","157,000","157,000","","0.00%"
"12/23/2022","157,000","157,000","158,000","155,500","335.01K","-0.95%"
"12/22/2022","158,500","156,500","159,500","156,500","0.01K","1.60%"
"12/21/2022","156,000","157,000","157,500","155,500","0.01K","-0.64%"
"12/20/2022","157,000","158,000","158,500","154,500","896.69K","-1.26%"
"12/19/2022","159,000","160,500","161,500","157,500","730.24K","-2.15%"
"12/18/2022","162,500","162,500","162,500","162,500","","0.00%"
"12/16/2022","162,500","160,000","163,000","160,000","440.11K","0.31%"
"12/15/2022","162,000","163,000","165,000","162,000","0.01K","-0.92%"
"12/14/2022","163,500","160,000","165,000","159,500","0.02K","2.51%"
"12/13/2022","159,500","164,000","164,000","158,000","0.02K","-2.45%"
"12/12/2022","163,500","162,000","163,500","162,000","231.31K","0.62%"
"12/11/2022","162,500","162,500","162,500","162,500","","0.00%"
"12/09/2022","162,500","163,500","164,000","162,000","460.00K","0.31%"
"12/08/2022","162,000","163,500","163,500","161,000","0.00K","-0.61%"
"12/07/2022","163,000","164,000","165,000","163,000","0.26K","-0.91%"
"12/06/2022","164,500","164,000","165,000","162,500","0.03K","-0.60%"
"12/05/2022","165,500","169,500","170,000","164,500","0.04K","-2.07%"
"12/04/2022","169,000","169,000","169,000","169,000","","0.00%"
"12/02/2022","169,000","172,000","172,500","168,500","450.97K","-1.46%"
"12/01/2022","171,500","172,000","172,500","170,500","0.12K","1.48%"
"11/30/2022","169,000","169,000","170,500","168,500","424.50K","0.00%"
